/* DATA DESCRIPTION:
Citation:	Tarasova, E N; Mamontov, A A; Mamontova, E A; Kuz'min, M I (2006): (Table 1) Vertical distribution of annual average contents of sulphates in waters of southern lake Baikal. PANGAEA, https://doi.org/10.1594/PANGAEA.790768, 
	In supplement to: Tarasova, EN et al. (2006): Some parameters of the state of the lake Baikal ecosystem inferred from long-term observations. Doklady Earth Sciences, 409A(6), 973-977, https://doi.org/10.1134/S1028334X06060316
Project(s):	Archive of Ocean Data (ARCOD)
Coverage:	LATITUDE: 51.700000 * LONGITUDE: 104.400000
	DATE/TIME START: 1967-01-01T00:00:00 * DATE/TIME END: 2004-01-01T00:00:00
	MINIMUM DEPTH, water: 0 m * MAXIMUM DEPTH, water: 1300 m
Event(s):	Lake_Baikal-Pol * LATITUDE: 51.700000 * LONGITUDE: 104.400000 * DATE/TIME START: 1967-01-01T00:00:00 * DATE/TIME END: 2005-01-01T00:00:00 * Lake water depth: 1300 m * LOCATION: Lake Baikal, Russia * METHOD/DEVICE: Water sample (WS)
Parameter(s):	DEPTH, water [m] (Depth water) * GEOCODE
	DATE/TIME (Date/Time) * GEOCODE
	Date/time end (Date/time end) * PI: Tarasova, E N
	Sulfate [mg/l] ([SO4]2-) * PI: Tarasova, E N
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	154 data points
*/
Depth water [m]	Date/Time	Date/time end	[SO4]2- [mg/l]
0	1967	1968	3.9
10	1967	1968	4.4
25	1967	1968	4.1
50	1967	1968	3.8
100	1967	1968	3.9
200	1967	1968	3.8
300	1967	1968	4.1
400	1967	1968	4.9
500	1967	1968	4.1
600	1967	1968	4.1
700	1967	1968	3.8
800	1967	1968	4.0
900	1967	1968	3.8
1000	1967	1968	4.0
1100	1967	1968	3.7
1200	1967	1968	4.2
1300	1967	1968	3.8
0	1981	1982	4.8
10	1981	1982	4.8
25	1981	1982	4.9
50	1981	1982	5.3
100	1981	1982	5.2
200	1981	1982	4.9
300	1981	1982	4.6
400	1981	1982	4.7
500	1981	1982	4.5
1000	1981	1982	4.7
1200	1981	1982	4.8
0	1983	1984	4.6
10	1983	1984	4.7
25	1983	1984	4.8
50	1983	1984	5.0
100	1983	1984	5.3
200	1983	1984	5.0
300	1983	1984	4.6
400	1983	1984	4.6
500	1983	1984	4.6
600	1983	1984	4.5
700	1983	1984	4.4
800	1983	1984	4.1
900	1983	1984	4.0
1000	1983	1984	5.0
1100	1983	1984	4.3
1200	1983	1984	4.4
0	1986	1987	7.8
10	1986	1987	7.5
25	1986	1987	6.7
50	1986	1987	6.6
100	1986	1987	6.9
200	1986	1987	6.1
300	1986	1987	6.4
400	1986	1987	5.9
500	1986	1987	5.7
600	1986	1987	7.4
700	1986	1987	6.4
800	1986	1987	6.4
900	1986	1987	7.7
1000	1986	1987	6.6
1100	1986	1987	6.4
1200	1986	1987	6.3
1300	1986	1987	6.7
0	2004	2005	4.8
10	2004	2005	4.8
25	2004	2005	6.1
50	2004	2005	5.6
100	2004	2005	6.1
200	2004	2005	6.0
300	2004	2005	5.7
400	2004	2005	5.8
500	2004	2005	6.0
600	2004	2005	5.0
700	2004	2005	5.0
800	2004	2005	5.5
900	2004	2005	6.2
1000	2004	2005	5.7
1100	2004	2005	5.6
1200	2004	2005	6.9
